# GC           l     b  dsun   Av    Nbg  Ndetect   Mgc  Otid    rh   Mdot +dMdot -dMdot
NGC_288    151.3 -89.4   9.0  0.06   2.2      494 0.962  40.2   8.6    2.7    1.1    0.8
NGC_362    301.5 -46.2   8.8  0.09  16.6     1030 2.520  42.2   3.4   10.3   11.2    5.4
NGC_1261   270.5 -52.1  16.4  0.03   3.7      560 1.720  24.5   4.9   12.7    6.1    4.1
NGC_1851   244.5 -35.0  11.9  0.12   5.8     1483 2.830  25.9   3.2   18.7   12.0    7.3
NGC_1904   227.2 -29.4  13.1  0.03   7.5      263 1.810  27.6   4.3   19.1   15.1    8.4
NGC_2419   180.4  25.2  88.5  0.25   8.2      138 7.830   4.4  26.4    nan    nan    nan
NGC_4147   252.8  77.2  18.5  0.06   2.4      108 0.451  20.1   3.5    2.5    1.1    0.8
NGC_4590   299.6  36.1  10.4  0.16   9.5       68 1.280  13.7   7.3    1.1    1.0    0.5
NGC_5024   333.0  79.8  18.5  0.06   2.7      706 5.020  18.2  10.0   37.0   15.9   11.1
NGC_5053   335.7  78.9  17.5  0.03   2.8      986 0.628  20.5  17.0   29.4   12.9    9.0
NGC_5272    42.2  78.7  10.2  0.03   2.7      503 4.090  27.6   5.5    6.2    2.7    1.9
NGC_5466    42.1  73.6  16.1  0.00   2.9      162 0.561   8.6  13.8    4.1    1.8    1.3
NGC_5634   342.2  49.3  26.0  0.16   7.1       62 2.470  22.5   7.7   10.8    8.7    4.8
NGC_5694   331.1  30.4  34.8  0.28  22.3       20 2.690   7.6   4.3    7.3   10.1    4.2
NGC_5824   332.6  22.1  31.7  0.40  49.2      131 7.460  10.8   6.3   62.5  116.0   40.6
NGC_5897   342.9  30.3  12.6  0.37  21.2      764 1.670  49.6  10.9   16.9   20.5    9.3
NGC_5904     3.9  46.8   7.5  0.09   7.1      176 3.920  17.7   5.6    2.4    1.7    1.0
NGC_6205    59.0  40.9   7.4  0.03   7.1     2209 4.840  56.4   5.2   16.7   12.0    7.0
NGC_6218    15.7  26.3   5.1  0.59  23.7      806 1.060  86.2   4.1    3.9    5.0    2.2
NGC_6229    73.6  40.3  30.1  0.03   6.5       79 2.470  17.1   4.8   25.1   24.8   12.5
NGC_6341    68.3  34.9   8.5  0.03   7.3      356 2.730  48.2   3.6    3.1    2.3    1.3
NGC_6752   336.5 -25.6   4.1  0.12  41.1      478 2.610  71.2   4.8    2.9    4.6    1.8
NGC_6934    52.1 -18.9  15.7  0.31  52.9       83 1.500   9.4   4.7    3.9    6.8    2.5
NGC_6981    35.2 -32.7  16.7  0.16  17.8      628 0.812  22.1   5.8   18.0   20.3    9.5
NGC_7006    63.8 -19.4  39.3  0.16  42.6      108 1.320   9.0   6.6   81.5  132.3   50.4
NGC_7078    65.0 -27.3  10.7  0.31  15.5      504 5.180  41.7   3.7    5.9    6.3    3.0
NGC_7089    53.4 -35.8  11.7  0.16  10.1      814 6.240  27.1   4.8   14.6   12.7    6.8
NGC_7099    27.2 -46.8   8.5  0.12   7.0      728 1.210  55.5   4.3    4.3    3.1    1.8
NGC_7492    53.4 -63.5  24.4  0.00   3.4       96 0.197  19.0  10.6    9.0    5.3    3.3
Pal_1      130.1  19.0  11.2  0.46  17.0      445 0.009  17.1   3.4    4.9    5.5    2.6
Pal_5        0.8  45.9  21.9  0.09   8.5      131 0.134  21.5  27.6   10.1    8.3    4.6
Pal_12      30.5 -47.7  18.5  0.06   7.3      228 0.062   6.7  10.5    8.7    6.4    3.7
Pal_14      28.7  42.2  73.6  0.12   7.9      117 0.191   4.0  37.7    nan    nan    nan
Whiting_1  161.6 -60.6  30.6  0.09   2.1       99 0.014   5.4  16.5   26.0   21.9   11.9
