# GC           l     b  dsun    Av   Nbg  Ndetect
Arp_2        8.5 -20.8  28.7  0.31 112.4     8000
BH_140     303.2  -4.3   4.8  2.11 324.1       20
Djor_2       2.8  -2.5   8.8  2.91 425.5       14
E_3        292.3 -19.0   7.9  0.93  46.0       96
IC_1257     16.5  15.1  26.6  2.26 123.2       19
IC_4499    307.4 -20.5  18.9  0.71  51.5       85
NGC_2298   245.6 -16.0   9.8  0.68  42.9      537
NGC_2808   282.2 -11.3  10.1  0.68 109.9     4438
NGC_3201   277.2   8.6   4.7  0.74  85.7      121
NGC_4372   301.0  -9.9   5.7  1.49 207.7      248
NGC_4833   303.6  -8.0   6.5  1.02 195.9      739
NGC_5139   309.1  15.0   5.4  0.37  70.2      920
NGC_5286   311.6  10.6  11.1  0.78 103.1      879
NGC_5927   326.6   4.9   8.3  1.30 236.5       11
NGC_6101   317.7 -15.8  14.4  0.16 107.0      128
NGC_6121   351.0  16.0   1.9  1.33 157.9      460
NGC_6139   342.4   6.9  10.0  2.33 221.7       15
NGC_6144   351.9  15.7   8.2  1.36 187.2       17
NGC_6171     3.4  23.0   5.6  1.02  46.9      663
NGC_6254    15.1  23.1   5.1  0.81  28.4      721
NGC_6287     0.1  11.0   7.9  1.86 312.3       79
NGC_6304   355.8   5.4   6.2  1.52 310.0       17
NGC_6355   359.6   5.4   8.7  2.39 393.4       19
NGC_6356     6.7  10.2  15.7  0.87 221.3      921
NGC_6362   325.6 -17.6   7.7  0.22  98.8      893
NGC_6366    18.4  16.0   3.4  2.20  86.9      731
NGC_6397   338.2 -12.0   2.5  0.53 251.1      202
NGC_6402    21.3  14.8   9.1  1.86  77.0      151
NGC_6426    28.1  16.2  20.7  1.12  83.0      117
NGC_6441   353.5  -5.0  12.7  1.43 461.0       14
NGC_6496   348.0 -10.0   9.6  0.74 361.9      865
NGC_6535    27.2  10.4   6.4  1.30  71.7      374
NGC_6541   349.3 -11.2   7.6  0.34 256.9      777
NGC_6544     5.8  -2.2   2.6  2.36 521.9      351
NGC_6553     5.3  -3.0   5.3  1.95 498.1       38
NGC_6569     0.5  -6.7  10.5  1.64 522.1      154
NGC_6584   342.1 -16.4  13.6  0.31 152.2      200
NGC_6624     2.8  -7.9   8.0  0.87 560.3      843
NGC_6637     1.7 -10.3   8.9  0.56 494.7      242
NGC_6638     7.9  -7.2   9.8  1.27 555.8       15
NGC_6652     1.5 -11.4   9.5  0.28 413.7       68
NGC_6656     9.9  -7.6   3.3  1.12 474.7      304
NGC_6715     5.6 -14.1  26.3  0.46 326.9    20007
NGC_6723     0.1 -17.3   8.3  0.16 218.6       45
NGC_6760    36.1  -3.9   8.4  2.39 176.8      108
NGC_6779    62.7   8.3  10.4  0.74 132.7      960
NGC_6809     8.8 -23.3   5.3  0.59  68.2     1874
Pal_11      31.8 -15.6  14.0  1.08 131.8       19
Pal_15      18.8  24.3  44.1  1.24  34.1       24
Rup_106    300.9  11.7  20.7  0.62 125.2       65
Ter_3      345.1   9.2   7.6  2.26 218.7       29
Ter_7        3.4 -20.1  24.3  0.22 140.5     3312
Ter_8        5.8 -24.6  27.5  0.37  61.6    10969
